Run;MethodName;Duration(ms)
169;DeleteParentWithChildren;14.5720
170;InsertParentWithChildren;20.7516
170;GetParentsWithChildren;1.8322
170;UpdateParentWithChildren;22.0354
170;DeleteParentWithChildren;23.0013
171;InsertParentWithChildren;21.4246
171;GetParentsWithChildren;1.7332
171;UpdateParentWithChildren;20.0180
171;DeleteParentWithChildren;21.7837
172;InsertParentWithChildren;18.1033
172;GetParentsWithChildren;1.6137
172;UpdateParentWithChildren;19.9858
172;DeleteParentWithChildren;31.3242
173;InsertParentWithChildren;10.1743
173;GetParentsWithChildren;1.6577
173;UpdateParentWithChildren;19.7376
173;DeleteParentWithChildren;21.2817
174;InsertParentWithChildren;16.9939
174;GetParentsWithChildren;1.7469
174;UpdateParentWithChildren;19.4691
174;DeleteParentWithChildren;21.0027
175;InsertParentWithChildren;16.7153
175;GetParentsWithChildren;1.8912
175;UpdateParentWithChildren;18.6258
175;DeleteParentWithChildren;9.5984
176;InsertParentWithChildren;21.7480
176;GetParentsWithChildren;1.6682
176;UpdateParentWithChildren;20.7443
176;DeleteParentWithChildren;22.1727
177;InsertParentWithChildren;22.3699
177;GetParentsWithChildren;1.6157
177;UpdateParentWithChildren;20.1053
177;DeleteParentWithChildren;39.4669
178;InsertParentWithChildren;10.1019
178;GetParentsWithChildren;2.0170
178;UpdateParentWithChildren;9.2014
178;DeleteParentWithChildren;9.6162
179;InsertParentWithChildren;9.9639
179;GetParentsWithChildren;1.5915
179;UpdateParentWithChildren;20.8720
179;DeleteParentWithChildren;9.4139
180;InsertParentWithChildren;22.0046
180;GetParentsWithChildren;1.8023
180;UpdateParentWithChildren;20.4834
180;DeleteParentWithChildren;22.2121
181;InsertParentWithChildren;20.7427
181;GetParentsWithChildren;2.5764
181;UpdateParentWithChildren;18.5442
181;DeleteParentWithChildren;21.5958
182;InsertParentWithChildren;21.6331
182;GetParentsWithChildren;1.7976
182;UpdateParentWithChildren;9.8713
182;DeleteParentWithChildren;22.1346
183;InsertParentWithChildren;40.6893
183;GetParentsWithChildren;1.8487
183;UpdateParentWithChildren;21.2516
183;DeleteParentWithChildren;11.7440
184;InsertParentWithChildren;20.6771
184;GetParentsWithChildren;1.7428
184;UpdateParentWithChildren;21.1549
184;DeleteParentWithChildren;22.4840
185;InsertParentWithChildren;21.7251
185;GetParentsWithChildren;1.9313
185;UpdateParentWithChildren;20.7955
185;DeleteParentWithChildren;21.7013
186;InsertParentWithChildren;21.4307
186;GetParentsWithChildren;1.7939
186;UpdateParentWithChildren;10.1770
186;DeleteParentWithChildren;22.7854
187;InsertParentWithChildren;21.0020
187;GetParentsWithChildren;1.8863
187;UpdateParentWithChildren;19.5759
187;DeleteParentWithChildren;21.5753
188;InsertParentWithChildren;9.1315
